"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"KY","Fayette County",51.26,41.8,49.34,11.7,15,78.3,6.9,3.8,88.6,40.1,48.398,0
"KY","Fleming County",21.57,75.55,33.05,16.2,1.6,97,1.3,0.2,76,12.8,32.495,1
"KY","Floyd County",24.3,72.59,31.79,16,1,97.9,0.7,0.2,73.6,12.8,30.476,1
"KY","Franklin County",44.95,49.58,49.43,16.3,11.1,84.5,3,1.8,86.1,26.8,46.071,1
"KY","Fulton County",32.51,65.06,41.19,19.4,24.3,72.4,1.5,0.8,76.5,13.1,33.582,1
"KY","Gallatin County",22.47,73.28,40.46,12.3,1.8,95.8,5.1,0.5,75.2,8.8,43.793,1
"KY","Garrard County",19.09,77.55,23.47,16.4,2.2,96.2,2.3,0.3,80.5,15.2,44.652,1
"KY","Grant County",20,76.1,32.65,12.6,1,96.8,2.5,0.5,82.4,10.9,46.159,1
"KY","Graves County",19.95,76.41,29.35,17.2,4.7,92.5,6,0.5,80.8,16.9,38.394,1
"KY","Grayson County",18.54,77.8,29.6,16.2,1.2,97.2,1.4,0.3,76,9.5,32.399,1
"KY","Green County",15.61,82.01,23.99,19.6,2.2,95.9,1.4,0.2,76.3,12,34.406,1
"KY","Greenup County",25.49,70.99,39.76,19.1,1,97.1,1.1,0.5,82.9,15.7,44.06,1
"KY","Hancock County",28.98,64.96,44.35,16.1,1.3,97.1,1.4,0.3,86.8,11.5,51.189,1
"KY","Hardin County",32.34,62.56,38.8,12.3,12.8,80.7,5.7,2.2,88.1,20.8,48.687,1
"KY","Harlan County",12.77,84.97,17.17,16.3,2.3,95.8,0.8,0.3,71,10.6,25.906,1
"KY","Harrison County",26.13,69.91,34.5,16.5,2.3,95.7,2.1,0.3,80,14.2,36.048,1
"KY","Hart County",23.83,73.27,34.48,16.2,4.8,93.3,1.7,0.3,71.2,8.8,33.408,1
"KY","Henderson County",34.06,61.75,43.47,15.7,7.9,89.4,2.3,0.5,85,16.4,41.94,1
"KY","Henry County",25.6,69.22,38.41,16,2.9,94.6,3.2,0.3,79.5,12.8,46.016,1
"KY","Hickman County",20.82,76.82,32.07,23.6,9.2,88.7,1.2,0.4,79,10.3,34.029,1
"KY","Hopkins County",21.21,75.16,29.29,17.1,6.7,90.4,1.8,0.6,82.6,14.2,40.891,1
"KY","Jackson County",8.77,88.94,12.09,15.6,0.3,98.7,0.7,0.1,69.3,8.2,26.156,1
"KY","Jefferson County",54.09,40.75,54.83,14.5,21.5,73.4,4.8,2.5,88.1,30.4,46.959,0
"KY","Jessamine County",26.38,66.43,29.1,13.4,3.5,93.1,2.9,1.2,84.6,27.4,49.024,1
"KY","Johnson County",13.08,84.13,19.07,16.1,0.5,98,0.7,0.4,74.2,10.2,34.09,1
"KY","Kenton County",33.67,59.74,36.82,12.7,4.9,91.5,2.9,1.2,88.8,29.1,54.27,1
"KY","Knott County",21.63,75.69,24.94,15.8,0.9,98.1,0.8,0.1,70.4,13,33.889,1
"KY","Knox County",14.67,82.37,22.38,16.9,1.3,97,1.1,0.3,67.2,10.1,24.038,1
"KY","Larue County",20.1,75.47,30.07,17,3.2,94.6,3.1,0.2,80.2,11.1,39.753,1
"KY","Laurel County",13.86,83,17.43,15,0.8,97.1,1.4,0.6,74.9,12.6,36.57,1
"KY","Lawrence County",17.31,79.77,27.18,15.9,0.4,98.3,0.7,0.2,72.9,10.8,33.525,1
"KY","Lee County",16.67,80.77,22.68,15,2.6,95.9,1.1,0.1,70.5,5.6,22.92,1
"KY","Leslie County",8.91,89.48,8.75,16.2,0.3,98.5,0.4,0.2,63.1,7.3,29.293,1
"KY","Letcher County",16.89,79.87,19.43,16.7,0.6,98.5,0.7,0.2,74.8,11.5,31.2,1
"KY","Lewis County",14.83,82.43,28.14,16.6,0.4,98.6,0.7,0.1,73.9,10.6,28.388,1
"KY","Lincoln County",19.52,76.8,28.21,16.7,2.4,95.8,1.5,0.2,76.8,9.6,33.651,1
"KY","Livingston County",19.11,76.91,29.84,19.9,0.6,97.3,1.5,0.5,82.3,11.3,40.313,1
"KY","Logan County",25.28,71.38,33.01,17.2,6.7,90.7,2.8,0.3,76.3,13.3,36.59,1
"KY","Lyon County",26.4,70.45,35.77,23.4,5.7,92.5,1.6,0.3,83.5,13.3,40.112,1
"KY","Madison County",31.6,62.79,34.55,12.7,4.7,91.9,2.3,1.1,85.2,28,42.312,1
"KY","Magoffin County",22.92,74.79,29.22,14.8,0.3,98.6,0.8,0.1,65.6,8.9,26.877,1
"KY","Marion County",33.04,63.17,46.72,14.8,8.4,89,2.4,0.9,81.8,12.5,38.719,1
"KY","Marshall County",22.02,73.88,31.96,21.1,0.4,98.1,1.4,0.4,85.1,15.3,43.907,1
"KY","Martin County",9.19,88.66,15.01,13.3,7.2,91.6,3.2,0.2,71.5,7.5,26.261,1
"KY","Mason County",27.32,68.55,37.68,16.8,6.6,90.7,1.5,0.6,80.2,14.8,41.137,1
"KY","McCracken County",29.2,66.4,32.95,18.2,10.9,85.6,2.4,1,86.9,22.5,44.898,1
"KY","McCreary County",11.5,86.83,18.74,14,5.8,91.7,2.4,0.2,69.8,7.3,20.972,1
"KY","McLean County",21.64,74.06,34.1,18.6,0.9,97.7,1.3,0.2,80,10.3,38.833,1
"KY","Meade County",24.76,70.85,37.76,12.3,3.9,91.8,4.3,1,86.3,12.7,46.756,1
"KY","Menifee County",25.19,72.33,40.34,18.2,2.8,95.6,1,0.2,72.3,12.1,29.108,1
"KY","Mercer County",22.64,73.16,29.85,18.1,3.9,93.3,2.5,0.5,83.9,18.9,45.396,1
"KY","Metcalfe County",21.14,75.63,34.06,17.6,1.9,96.7,1.6,0.2,69.4,8.6,31.75,1
"KY","Monroe County",12.04,85.71,19.72,18.4,2.3,96.4,3.1,0.1,73.2,12,29.808,1
"KY","Montgomery County",27.61,68.69,36.11,14.8,3,95.2,2.6,0.4,78.7,14.6,37.312,1
"KY","Morgan County",21.11,76.12,30.61,14.6,4.3,94.2,0.8,0.4,70.7,11.5,30.658,1
"KY","Muhlenberg County",25.08,72,37.46,17.8,5,93.4,1.4,0.3,77.9,11.3,38.105,1
"KY","Nelson County",30.99,64.69,41.07,13.5,5.3,92.3,2.1,0.6,86.8,16.6,43.833,1
"KY","Nicholas County",27.74,68.98,36.74,17.2,0.7,98.2,2.1,0.3,79.5,13.7,43.081,1
"KY","Ohio County",20,76.38,30.97,16.9,1,97.4,3.3,0.3,77.3,8,40.83,1
"KY","Oldham County",31.27,62.33,30.93,11.7,4.4,91.8,3.8,1.6,91.7,40.1,83.391,1
"KY","Owen County",21.25,74.94,32.95,16.6,1,97.5,2.4,0.2,84.1,15.9,41.009,1
"KY","Owsley County",14.57,83.89,17.91,17.8,0.5,98.4,1,0.1,61.4,12.4,19.986,1
"KY","Pendleton County",19.38,76.66,33.59,14.5,0.6,97.9,1.2,0.2,83.8,12.4,45.48,1
"KY","Perry County",20.22,77.21,19.99,15.4,1.7,96.4,0.8,0.5,69,13.5,33.528,1
"KY","Pike County",17.36,80.12,23.89,15.9,0.8,97.8,0.8,0.6,71.9,12.5,32.961,1
"KY","Powell County",25.69,70.94,36.48,14.4,0.8,98,1.3,0.2,71,11.9,26.839,1
"KY","Pulaski County",15.02,81.74,19.14,17.7,1.3,96.7,2.4,0.5,79.9,15.1,34.092,1
"KY","Robertson County",21.92,74.93,36.36,22,0.3,98.3,1,0.1,72.7,12.5,31.786,1
"KY","Rockcastle County",13.69,83.89,17.65,16.6,0.4,98.3,0.8,0.1,75.3,10.9,30.674,1
"KY","Rowan County",37.32,58.6,44.99,13.4,1.9,96,1.5,0.8,77.1,23.8,35.236,1
"KY","Russell County",13.38,83.99,18.27,18.9,0.7,97.4,3.6,0.4,73.8,11.9,29.721,1
"KY","Scott County",31.93,62.3,36.63,10.7,5.8,90.9,4.2,1.1,88,27.9,61.893,1
