"country","hdi_2018","median_age","pctpop65","pct_internet","pct_labour"
"Solomon Islands",0.557,19.6,0,11.9,71.4
"South Africa",0.705,26.4,0.0536332179930796,56.2,55.5
"South Sudan",0.413,18.4,0.0363636363636364,8,73
"Spain",0.893,42.5,0.19271948608137,86.1,57.3
"Sri Lanka",0.78,32.3,0.10377358490566,34.1,52.5
"Sudan",0.508,18.9,0.0358851674641148,30.9,47.2
"Suriname",0.724,27.9,0,48.9,51.6
"Sweden",0.937,40.9,0.2,92.1,64.3
"Switzerland",0.946,42.2,0.188235294117647,89.7,68.3
"Syrian Arab Republic",0.549,23.6,0.0473372781065089,34.3,41.2
"Tajikistan",0.656,22,0.032967032967033,22,43.6
"Tanzania (United Republic of)",0.528,17.6,0.0266429840142096,25,83.2
"Thailand",0.765,37.9,0.119596541786744,56.8,67.5
"Timor-Leste",0.626,19.6,0.0769230769230769,27.5,39
"Togo",0.513,18.8,0.0253164556962025,12.4,77.7
"Tonga",0.717,21.9,0,41.2,59.5
"Trinidad and Tobago",0.799,33.8,0.0714285714285714,77.3,60.6
"Tunisia",0.739,31.3,0.0862068965517241,64.2,46.5
"Turkey",0.807,29.9,0.0850546780072904,71,52.5
"Turkmenistan",0.71,25.6,0.0508474576271186,21.3,65.1
"Uganda",0.528,15.9,0.0187353629976581,23.7,71
"Ukraine",0.75,40,0.165158371040724,58.9,54
"United Arab Emirates",0.866,32.6,0.0104166666666667,98.5,83
"United Kingdom",0.92,40,0.184798807749627,94.9,62.3
"United States",0.92,37.6,0.158055640476918,87.3,62
"Uruguay",0.808,35,0.147058823529412,68.3,64.3
"Uzbekistan",0.71,26.2,0.0430769230769231,52.3,65.5
"Vanuatu",0.597,20.8,0,25.7,70.5
"Venezuela (Bolivarian Republic of)",0.726,27.3,0.0726643598615917,72,62.2
"Viet Nam",0.693,30.5,0.0732984293193717,70.3,77.4
"Yemen",0.463,19.1,0.0280701754385965,26.7,38.5
"Zambia",0.591,16.7,0.0229885057471264,14.3,75.2
"Zimbabwe",0.563,18.4,0.0277777777777778,27.1,83.6
